          19       2724624.0
           1       19309193.   5.2610290e+13   1.8989346e-13
           2   1.6996424e+08   4.6308865e+14   1.1826602e-13
           3   2.7795143e+08   7.5731312e+14   8.1718427e-14
           4   3.7369230e+08   1.0181710e+15   5.8020304e-14
           5   4.5530821e+08   1.2405437e+15   4.3160851e-14
           6   5.3345509e+08   1.4534645e+15   3.2358621e-14
           7   6.1539055e+08   1.6767079e+15   2.3906170e-14
           8   7.0362266e+08   1.9171072e+15   1.7138784e-14
           9   8.2568095e+08   2.2496701e+15   1.1167090e-14
          10   9.2164359e+08   2.5111322e+15   8.6359476e-15
          11   1.0159203e+09   2.7680009e+15   7.1853843e-15
          12   1.1337241e+09   3.0889719e+15   4.9041077e-15
          13   1.2358599e+09   3.3672535e+15   3.3438747e-15
          14   1.3539643e+09   3.6890435e+15   3.2395150e-15
          15   1.4262298e+09   3.8859398e+15   3.0926445e-15
          16   1.5158438e+09   4.1301045e+15   2.6702382e-15
          17   1.6746847e+09   4.5628861e+15   5.3611752e-16
          18   2.0745143e+09   5.6522714e+15   6.4424343e-17
          19   2.2490485e+09   6.1278114e+15   1.9669350e-17
