       14              .000          .0
       15       -159856.063         1.0
       16       -166277.547          .0
       17        169086.859         2.0
       18        169086.938         1.0
       19        169087.922          .0
       20        171135.000         1.0
       21        183236.891         1.0
       22        184864.938          .0
       23        185564.656         2.0
       24        185564.672         1.0
       25        185564.953          .0
       26        186101.641         3.0
       27        186101.641         2.0
       28        186101.688         1.0
       29        186105.063         2.0
       30        186209.469         1.0
       31        190298.203         1.0
       32        190940.328          .0
       33        191217.125         2.0
       34        191217.141         1.0
       35        191217.250          .0
       36        191444.578         3.0
       37        191444.578         2.0
       38        191444.609         1.0
       39        191446.563         2.0
       40        191451.984         2.0
       41        191451.984         3.0
       42        191451.984         4.0
       43        191451.984         3.0
       44        191492.813         1.0
       45        193347.094         1.0
       46        193663.625          .0
       47        193800.797         2.0
       48        193800.813         1.0
       49        193800.859          .0
       50        193917.250         3.0
       51        193917.250         2.0
       52        193917.250         1.0
       53        193918.391         2.0
       54        193921.188         2.0
       55        193921.188         3.0
       56        193921.188         4.0
       57        193921.188         3.0
       58        193942.563         1.0
       59        194936.234         1.0
       60        195115.000          .0
       61        195192.906         2.0
       62        195192.906         1.0
       63        195192.937          .0
       64        195192.937          .0
       65        195260.172         3.0
       66        195260.172         2.0
       67        195260.172         1.0
       68        195260.859         2.0
       69        195262.484         2.0
       70        195262.484         3.0
       71        195262.484         4.0
       72        195262.500         3.0
       73        195275.047         1.0
       74        195868.344         1.0
       75        195979.047          .0
       76        196027.391         2.0
       77        196027.406         1.0
       78        196027.422          .0
       79        196069.734         3.0
       80        196069.734         2.0
       81        196069.734         1.0
       82        196070.219         2.0
       83        196071.266         2.0
       84        196071.266         3.0
       85        196071.266         4.0
       86        196071.281         3.0
       87        196079.234         1.0
       88        196461.422         1.0
       89        196534.875          .0
       90        196566.812         2.0
       91        196566.812         1.0
       92        196566.828          .0
       93        196595.188         3.0
       94        196595.188         2.0
       95        196595.188         1.0
       96        196595.547         2.0
       97        196596.172         3.0
       98        196596.172         2.0
       99        196596.172         3.0
      100        196596.172         4.0
      101        196601.516         1.0
      102        196862.047         1.0
      103        196912.984          .0
      104        196935.422         2.0
      105        196935.422         1.0
      106        196935.422          .0
      107        196955.281         3.0
