      756              .000          .5
      757        329166.813         3.5
      758        390123.594         8.5
      759        411458.500        15.5
      760        421333.500        24.5
      761        426697.688        35.5
      762        429932.188        48.5
      763        432031.406        63.5
      764        433470.688        80.5
      765        434500.188        99.5
      766        435261.906       120.5
      767        435841.313       143.5
      768        436292.094       168.5
