     6    10613.40     16.00   4.300   9.380   0.0   0.0   0.00

     10527.736     11697.485     0.38019586     0.16077411
     10071.116     11190.130     0.37171391     0.24949133
      9614.497     10682.774     0.36323196     0.33820856
      9259.537     10288.375     0.36223215     0.33924866
      9100.771     10111.969     0.34841138     0.27365959
      8943.724      9937.471     0.32153052     0.27382118
      8648.818      9609.799     0.28757295     0.40668011
      8294.338      9215.932     0.24994679     0.59953547
      7893.576      8770.641     0.22000241     0.80241650
      7493.985      8326.650     0.19721037     1.03232384
      7154.387      7949.319     0.17529231     1.26583171
      6804.420      7560.467     0.15519862     1.59891284
      6442.676      7158.529     0.13507505     2.11318874
      6176.904      6863.227     0.11384730     2.57773042
      5997.333      6663.704     0.09337971     2.90737200
      5838.210      6486.901     0.07386906     3.17927480
      5669.498      6299.442     0.05631387     3.39278030
      5453.963      6059.959     0.04115234     3.56661963
      5147.234      5719.149     0.02843095     3.70650768
      4840.505      5378.339     0.01570956     3.84639573
